,P,G,Tp
0,15950000.0,1965.3,832.6500000000008
1,15930000.000000002,1970.0,871.0500000000001
2,15960000.0,1977.7,902.6500000000012
3,16010000.0,1485.6,710.550000000001
4,15990000.0,1482.0,739.6500000000009
5,15919999.999999998,1482.7,783.1499999999999
6,15990000.0,1476.5,835.3500000000009
7,15980000.000000002,1485.2,865.550000000001
8,15930000.000000002,1482.6,924.3500000000001
9,15980000.000000002,1005.1,715.050000000001
10,15990000.0,998.6,757.450000000001
11,15980000.000000002,1000.0,814.050000000001
12,15990000.0,997.4,857.9500000000008
13,15960000.0,1010.3,913.7500000000013
14,16000000.0,502.2,724.5500000000011
15,16010000.0,501.3,765.150000000001
16,16040000.0,504.9,808.7500000000002
17,16050000.0,503.7,847.6499999999994
18,13969999.999999998,3086.4,711.8500000000032
19,14010000.0,3082.6,755.4500000000024
20,14030000.000000002,3087.8,799.8500000000012
21,14000000.0,3100.6,834.6500000000026
22,14010000.0,3089.9,883.8500000000024
23,20070000.0,2567.5,703.5499999999987
24,13990000.0,2573.0,732.3500000000028
25,13990000.0,2576.0,779.7500000000028
26,14000000.0,2597.6,826.1500000000026
27,14019999.999999998,2590.3,889.2500000000024
28,13990000.0,2579.2,932.0500000000028
29,13990000.0,1976.6,729.0500000000028
30,10410000.0,1967.5,756.8499999999998
31,13990000.0,1975.0,824.1500000000028
32,14000000.0,1970.5,901.0500000000027
33,20030000.0,2571.9,742.5499999999998
34,14030000.000000002,1506.8,711.850000000001
35,14030000.000000002,1502.4,762.7500000000011
36,13980000.000000002,1495.9,789.6500000000027
37,13980000.000000002,1496.3,804.5500000000027
38,14000000.0,1495.6,832.0500000000027
39,14030000.000000002,1498.5,858.3500000000012
40,14000000.0,1494.3,913.5500000000027
41,13980000.000000002,1007.9,726.1500000000027
42,20020000.0,2598.3,855.7500000000003
43,13980000.000000002,1007.4,762.2500000000027
44,14000000.0,1006.3,787.9500000000027
45,14000000.0,1005.6,826.4500000000027
46,13990000.0,1007.2,860.8500000000029
47,13980000.000000002,1006.6,886.1500000000027
48,13980000.000000002,1005.1,917.0500000000027
49,13980000.000000002,502.2,730.9500000000028
50,13980000.000000002,501.7,784.6500000000027
51,13990000.0,502.2,823.5500000000028
52,13990000.0,505.0,861.2500000000028
53,13990000.0,503.2,898.8500000000029
54,11970000.0,3102.6,752.1500000000019
55,11980000.0,3110.1,833.0500000000013
56,12000000.0,3112.9,889.3500000000008
57,12000000.0,3106.5,937.2500000000007
58,11990000.0,2577.6,746.1500000000004
59,12000000.0,2574.5,786.8500000000007
60,12000000.0,2568.1,837.6500000000007
61,11990000.0,2582.7,879.4500000000004
62,11980000.0,2584.0,926.2500000000014
63,11980000.0,1967.9,748.0500000000013
64,12010000.0,1962.5,795.0499999999997
65,11980000.0,1965.6,825.1500000000013
66,11970000.0,1967.6,860.350000000002
67,12000000.0,1974.0,894.3500000000008
68,12000000.0,1965.5,930.6500000000007
69,12000000.0,1487.0,757.3500000000006
70,12000000.0,1483.1,798.8500000000007
71,12000000.0,1488.6,827.2500000000007
72,12010000.0,1496.0,851.3499999999998
73,12020000.0,1486.8,876.0499999999994
74,12000000.0,1486.7,898.9500000000006
75,12010000.0,1481.7,929.9499999999998
76,12010000.0,1000.8,704.9499999999998
77,11980000.0,1000.4,765.0500000000013
78,11990000.0,994.8,793.7500000000005
79,11990000.0,998.5,818.0500000000004
80,12010000.0,999.8,847.8499999999998
81,12010000.0,1001.0,869.7499999999998
82,12000000.0,998.1,896.4500000000006
83,11990000.0,1003.1,896.4500000000004
84,12000000.0,999.9,946.3500000000008
85,11940000.0,502.0,762.0500000000015
86,20040000.0,1988.7,752.7499999999993
87,11990000.0,501.1,833.1500000000004
88,11930000.0,501.8,879.4500000000024
89,11950000.0,501.6,916.7500000000016
90,12000000.0,502.2,952.9500000000006
91,9970000.0,3088.2,713.0499999999951
92,9990000.0,3075.7,740.2499999999948
93,10000000.0,3081.0,772.7499999999961
94,10020000.0,3090.2,800.5499999999954
95,10000000.0,3079.7,835.7499999999961
96,19970000.0,2000.0,810.5500000000006
97,9960000.0,3096.5,861.6499999999962
98,10030000.0,3082.7,920.149999999995
99,9960000.0,2550.3,748.0499999999962
100,10020000.0,2547.5,778.9499999999955
101,10020000.0,2543.6,810.7499999999955
102,10010000.0,2542.2,836.549999999995
103,9980000.0,2541.1,854.5499999999955
104,9980000.0,2540.8,874.1499999999955
105,10010000.0,2541.4,914.849999999995
106,10010000.0,1973.8,773.049999999995
107,10020000.0,1973.3,801.4499999999954
108,10010000.0,1979.3,844.549999999995
109,10020000.0,1990.3,862.4499999999954
110,10000000.0,1983.5,878.9499999999961
111,9990000.0,1983.0,904.6499999999947
112,10020000.0,1984.3,927.8499999999955
113,10030000.0,1487.8,777.149999999995
114,10000000.0,1489.1,828.1499999999961
115,10000000.0,1485.1,852.1499999999961
116,10000000.0,1499.8,869.2499999999961
117,10000000.0,1492.3,894.8499999999962
118,10000000.0,1495.5,919.8499999999962
119,10000000.0,1492.0,942.9499999999961
120,9990000.0,999.6,811.3499999999948
121,10010000.0,997.3,838.149999999995
122,9990000.0,995.9,895.0499999999947
123,10010000.0,991.8,924.149999999995
124,10000000.0,993.8,950.1499999999961
125,10000000.0,501.5,791.9499999999961
126,9980000.0,502.0,872.1499999999955
127,10010000.0,502.2,941.4499999999949
128,9980000.0,501.9,979.6499999999955
129,7000000.0,3079.0,743.45
130,7000000.0,3085.0,788.55
131,19990000.0,1480.4,701.8500000000003
132,7009999.999999999,3104.9,810.5499999999994
133,7009999.999999999,3102.0,840.8499999999995
134,6990000.000000001,2560.9,768.1499999999997
135,7009999.999999999,2553.8,791.9499999999994
136,7000000.0,2527.1,837.85
137,7009999.999999999,2549.7,873.6499999999994
138,7000000.0,2551.8,916.4499999999999
139,6990000.000000001,1989.3,786.6499999999997
140,19980000.0,1479.0,760.2499999999992
141,7009999.999999999,1987.7,822.6499999999994
142,7020000.0,1988.2,873.7499999999998
143,7009999.999999999,1986.3,931.6499999999994
144,6990000.000000001,1500.2,801.1499999999997
145,7009999.999999999,1484.2,847.0499999999994
146,7009999.999999999,1492.2,875.6499999999994
147,7000000.0,1489.1,904.85
148,7000000.0,1483.1,932.3499999999999
149,19980000.0,1485.3,761.4499999999992
150,7020000.0,996.5,830.2499999999998
151,7009999.999999999,1000.9,883.1499999999994
152,7020000.0,999.6,912.0499999999996
153,7009999.999999999,1002.5,942.8499999999995
154,7009999.999999999,500.9,759.2499999999994
155,7009999.999999999,500.7,861.8499999999995
